pregunta,etiqueta
¿Qué empresa diseñó el empaque del juego?,relaciones
¿Qué celebridades han jugado Sagrada?,relaciones
¿Qué porcentaje de jugadores recomiendan Sagrada?,estadisticas
¿Qué puesto ocupa Sagrada en el ranking global de BoardGameGeek?,estadisticas
¿Quién ganó el torneo nacional de Sagrada en 2021?,relaciones
¿Cómo se eligen los dados al inicio del juego?,informacion
¿Cómo se calcula la puntuación final en Sagrada?,informacion
¿Qué es el tablero de vitrales?,informacion
¿Cuántas veces ha sido nominado Sagrada a premios de juegos de mesa?,estadisticas
¿Quién reseñó el juego Sagrada en YouTube?,relaciones
¿Qué ilustradores colaboraron con la edición deluxe?,relaciones
¿Qué porcentaje de usuarios le dio 10 puntos a Sagrada?,estadisticas
¿Con qué frecuencia se hacen torneos oficiales?,relaciones
¿Cuál es la edición más vendida de Sagrada?,estadisticas
¿Qué significan los símbolos en las cartas de herramientas?,informacion
¿Cuál fue la evolución de la puntuación promedio de Sagrada en los últimos 5 años?,estadisticas
¿Qué alianzas comerciales tiene la editorial de Sagrada?,relaciones
¿Cuál es la duración promedio de una partida según encuestas?,estadisticas
¿Qué relación tiene Sagrada con otros juegos abstractos?,relaciones
¿Cuántos torneos oficiales de Sagrada se han organizado desde su lanzamiento?,estadisticas
¿Cuántas copias vendió Sagrada en su primer año?,estadisticas
¿Qué pasa si no uso todas mis fichas de favor?,informacion
¿Qué diferencias hay entre objetivos ocultos y públicos?,informacion
¿Qué pasa si no puedo colocar un dado en mi tablero?,informacion
¿Quién ilustró el tablero de jugador en Sagrada?,relaciones
¿Qué diferencias hay entre objetivos ocultos y públicos?,informacion
¿Qué materiales incluye la caja de Sagrada?,informacion
¿Cuántas copias digitales del reglamento se han descargado?,estadisticas
¿Quién organizó el campeonato nacional de Sagrada en 2023?,relaciones
¿Qué juegos de mesa son similares a Sagrada?,relaciones
¿Qué cartas tienen efectos más fuertes en el juego?,informacion
¿Cuántas ediciones del juego Sagrada existen?,estadisticas
¿Qué relación tiene Sagrada con otros juegos abstractos?,relaciones
¿En qué idiomas está disponible Sagrada?,estadisticas
¿Qué autores escribieron sobre Sagrada en blogs?,relaciones
¿Cuál es la función de las cartas de objetivo público en Sagrada?,informacion
¿Cuáles son los componentes esenciales en un juego de tablero moderno?,informacion
¿Qué es una mecánica de draft en juegos de mesa?,informacion
¿Qué cartas tienen efectos más fuertes en el juego?,informacion
¿En qué ferias de juegos se presentó Sagrada?,estadisticas
¿Qué influencias tiene Sagrada de otros juegos?,relaciones
¿Qué pasa si no puedo colocar un dado en mi tablero?,informacion
¿Qué relación hay entre Azul y Sagrada?,relaciones
¿Para qué sirven las cartas de herramienta en Sagrada?,informacion
¿Cuántos nuevos jugadores se sumaron al juego en 2023?,estadisticas
¿Quién ilustró el tablero de jugador en Sagrada?,relaciones
¿Qué alianzas comerciales tiene la editorial de Sagrada?,relaciones
¿Cuál es el país con más jugadores de Sagrada?,estadisticas
¿Cuál es la calificación promedio de Sagrada en tiendas online?,estadisticas
¿Cómo se gana una partida de Sagrada?,informacion
¿Qué juegos de mesa son similares a Sagrada?,relaciones
¿Qué colores de dados hay en Sagrada?,informacion
¿Cuántas ediciones del juego Sagrada existen?,estadisticas
¿Qué alianzas comerciales tiene la editorial de Sagrada?,relaciones
¿Qué materiales incluye la caja de Sagrada?,informacion
¿Cuántas expansiones han sido lanzadas oficialmente?,estadisticas
¿Cuántas copias vendió Sagrada en su primer año?,estadisticas
¿Qué lugar ocupa Sagrada entre los juegos de colocación de dados?,estadisticas
¿Qué porcentaje de usuarios le dio 10 puntos a Sagrada?,estadisticas
¿Qué otros juegos tienen cartas de herramientas similares?,relaciones
¿Qué es una mecánica de draft en juegos de mesa?,informacion
¿Quién organizó el campeonato nacional de Sagrada en 2023?,relaciones
¿Quién distribuye el juego Sagrada en Argentina?,relaciones
¿Para qué sirven las cartas de herramienta en Sagrada?,informacion
¿Qué indica el marcador de ronda?,informacion
¿Quién distribuye el juego Sagrada en Argentina?,relaciones
¿Quién ilustró el tablero de jugador en Sagrada?,relaciones
¿Cómo se determinan los dados que se tiran en cada ronda?,informacion
¿Qué tipo de estrategias se recomiendan para juegos de dados?,informacion
¿Cómo se gana una partida de Sagrada?,informacion
¿En qué año se lanzó el juego Sagrada?,estadisticas
¿Cuántos idiomas oficiales tiene Sagrada?,estadisticas
¿Qué influencias tiene Sagrada de otros juegos?,relaciones
¿Para qué sirven las cartas de herramienta en Sagrada?,informacion
¿Cuál fue el volumen de ventas global de Sagrada en 2023?,estadisticas
¿Cuál es la nota promedio del juego en 2024?,estadisticas
¿En qué idiomas está disponible Sagrada?,estadisticas
¿Con qué frecuencia se hacen torneos oficiales?,relaciones
¿Qué lugar ocupa Sagrada entre los juegos de mesa más vendidos de su categoría?,estadisticas
¿Quién fue el subcampeón en el último torneo?,relaciones
¿Qué diferencias hay entre objetivos ocultos y públicos?,informacion
¿Qué jugador ganó el último torneo de Sagrada?,relaciones
¿Cuántas copias digitales del reglamento se han descargado?,estadisticas
¿Cómo se calcula la puntuación final en Sagrada?,informacion
¿Qué influencias tiene Sagrada de otros juegos?,relaciones
¿Cuántas veces ha sido nominado Sagrada a premios de juegos de mesa?,estadisticas
¿Qué relación hay entre Azul y Sagrada?,relaciones
¿Cuántos torneos oficiales de Sagrada se han organizado desde su lanzamiento?,estadisticas
¿Qué alianzas comerciales tiene la editorial de Sagrada?,relaciones
¿Qué puesto ocupa Sagrada en el ranking global de BoardGameGeek?,estadisticas
¿Cuántos idiomas oficiales tiene Sagrada?,estadisticas
¿Qué reglas básicas tiene un juego de mesa como Sagrada?,informacion
¿Qué tienda organiza torneos de Sagrada en mi ciudad?,relaciones
¿Qué rol tiene el turno en un juego de mesa?,informacion
¿Cómo se calcula la puntuación final en Sagrada?,informacion
¿Qué lugar ocupa Sagrada entre los juegos de mesa más vendidos de su categoría?,estadisticas
¿Cuál fue el volumen de ventas global de Sagrada en 2023?,estadisticas
¿Qué es una restricción de color y número?,informacion
¿Qué indica el marcador de ronda?,informacion
¿Qué sucede si se empata en una partida de Sagrada?,informacion
¿Cuántas expansiones han sido lanzadas oficialmente?,estadisticas
¿Qué lugar ocupa Sagrada entre los juegos de mesa más vendidos de su categoría?,estadisticas
¿Qué tipos de restricciones se deben seguir al colocar dados?,informacion
¿Quién fue el primer campeón mundial de Sagrada?,relaciones
¿Quién organizó el campeonato nacional de Sagrada en 2023?,relaciones
¿Qué empresa diseñó el empaque del juego?,relaciones
¿Qué diferencias hay entre los tableros de jugador?,informacion
¿Qué posición alcanzó Sagrada en rankings familiares?,estadisticas
¿Qué tienda organiza torneos de Sagrada en mi ciudad?,relaciones
¿Cuántos torneos oficiales de Sagrada se han organizado desde su lanzamiento?,estadisticas
¿Qué tan popular es Sagrada entre jugadores principiantes según encuestas?,estadisticas
¿Cuántas veces ha sido nominado Sagrada a premios de juegos de mesa?,estadisticas
¿Cuántos usuarios han reseñado Sagrada en línea?,estadisticas
¿Qué colores de dados hay en Sagrada?,informacion
¿Cuál fue el volumen de ventas global de Sagrada en 2023?,estadisticas
¿Qué pasa si no puedo colocar un dado en mi tablero?,informacion
¿Cuántos clubes de juegos incluyen Sagrada como título recomendado?,estadisticas
¿Cuántas copias digitales del reglamento se han descargado?,estadisticas
¿Cómo se usan las cartas de objetivo oculto?,informacion
¿Quién ganó el torneo nacional de Sagrada en 2021?,relaciones
¿Qué materiales incluye la caja de Sagrada?,informacion
¿Qué diseñadores influyeron en el creador de Sagrada?,relaciones
¿Qué alianzas comerciales tiene la editorial de Sagrada?,relaciones
¿Cuál fue el crecimiento anual de ventas de Sagrada?,estadisticas
¿Qué otros juegos diseñó el creador de Sagrada?,relaciones
¿Cuál es la función de las cartas de objetivo público en Sagrada?,informacion
¿Cuál es la edición más vendida de Sagrada?,estadisticas
¿Qué alianzas comerciales tiene la editorial de Sagrada?,relaciones
¿Qué autores trabajaron en la expansión de Sagrada?,relaciones
¿Qué autores escribieron sobre Sagrada en blogs?,relaciones
¿Qué jugador ganó el último torneo de Sagrada?,relaciones
¿Quién ganó el torneo nacional de Sagrada en 2021?,relaciones
¿Quién reseñó el juego Sagrada en YouTube?,relaciones
¿Qué ilustradores colaboraron con la edición deluxe?,relaciones
¿Cuántos usuarios han reseñado Sagrada en línea?,estadisticas
¿Qué tipo de estrategias se recomiendan para juegos de dados?,informacion
¿Cuáles son las reglas básicas de colocación?,informacion
¿Cuáles son las reglas básicas de colocación?,informacion
¿Qué pasa si no uso todas mis fichas de favor?,informacion
¿Qué porcentaje de jugadores recomiendan Sagrada?,estadisticas
¿Qué autores escribieron sobre Sagrada en blogs?,relaciones
¿Qué tipo de estrategias se recomiendan para juegos de dados?,informacion
¿Cómo se calcula la puntuación final en Sagrada?,informacion
¿Cuáles son los componentes esenciales en un juego de tablero moderno?,informacion
¿Cuál es la calificación promedio de Sagrada en tiendas online?,estadisticas
¿Cuántos usuarios han reseñado Sagrada en línea?,estadisticas
¿Cómo se usan las cartas de objetivo oculto?,informacion
¿Qué relación tiene Sagrada con otros juegos abstractos?,relaciones
¿Qué celebridades han jugado Sagrada?,relaciones
¿Cuántas unidades de expansión ‘Pasión’ se han vendido?,estadisticas
¿Qué rol tiene el turno en un juego de mesa?,informacion
¿En cuántos países se comercializa Sagrada actualmente?,estadisticas
¿Qué significan los símbolos en las cartas de herramientas?,informacion
¿Quién fue el subcampeón en el último torneo?,relaciones
¿Qué significan los símbolos en las cartas de herramientas?,informacion
¿Cuántas copias de Sagrada se han vendido en todo el mundo?,estadisticas
¿Qué diferencias hay entre objetivos ocultos y públicos?,informacion
¿Quién diseñó el juego Sagrada?,relaciones
¿Cuántos idiomas oficiales tiene Sagrada?,estadisticas
¿Cuántos nuevos jugadores se sumaron al juego en 2023?,estadisticas
¿Qué sucede si se empata en una partida de Sagrada?,informacion
¿Cuántos premios ganó Sagrada desde su lanzamiento?,estadisticas
¿Cuántos torneos oficiales de Sagrada se han organizado desde su lanzamiento?,estadisticas
¿Qué tan popular es Sagrada entre jugadores principiantes según encuestas?,estadisticas
¿Cuántos premios ganó Sagrada desde su lanzamiento?,estadisticas
¿Qué jugador ganó el último torneo de Sagrada?,relaciones
¿Qué relación tiene Sagrada con otros juegos abstractos?,relaciones
¿Con qué editorial colaboró el diseñador de Sagrada?,relaciones
¿Qué otros juegos diseñó el creador de Sagrada?,relaciones
¿Cuál fue el país con más ventas de Sagrada en 2022?,estadisticas
¿En qué idiomas está disponible Sagrada?,estadisticas
¿Qué reglas básicas tiene un juego de mesa como Sagrada?,informacion
¿Qué materiales incluye la caja de Sagrada?,informacion
¿Qué diseñador trabajó también en Azul y Sagrada?,relaciones
¿Qué relación hay entre Azul y Sagrada?,relaciones
¿Qué tipos de restricciones se deben seguir al colocar dados?,informacion
¿Qué puesto ocupa Sagrada en el ranking global de BoardGameGeek?,estadisticas
¿Cuántos países han participado en torneos de Sagrada?,estadisticas
¿Qué puesto ocupa Sagrada en el ranking global de BoardGameGeek?,estadisticas
¿Qué diseñadores influyeron en el creador de Sagrada?,relaciones
¿Qué comunidad online es más activa con Sagrada?,relaciones
¿Cuántas ediciones del juego Sagrada existen?,estadisticas
¿Qué reglas básicas tiene un juego de mesa como Sagrada?,informacion
¿Cómo se usan las expansiones con el juego base?,informacion
¿Cuántas copias digitales del reglamento se han descargado?,estadisticas
¿Cómo influye el azar en juegos como Sagrada?,informacion
¿Qué hace la carta de herramienta ‘Martillo de cobre’?,informacion
¿Quién es el responsable del arte gráfico del juego?,relaciones
¿Cómo influye el azar en juegos como Sagrada?,informacion
¿Cuál es la duración promedio de una partida según encuestas?,estadisticas
¿Qué porcentaje de ventas de Sagrada corresponde a América Latina?,estadisticas
¿Qué empresa diseñó el empaque del juego?,relaciones
¿Cómo se gana una partida de Sagrada?,informacion
¿Qué autores escribieron sobre Sagrada en blogs?,relaciones
¿Qué porcentaje de ventas de Sagrada corresponde a América Latina?,estadisticas
¿Cuál fue el país con más ventas de Sagrada en 2022?,estadisticas
¿Qué autores escribieron sobre Sagrada en blogs?,relaciones
¿Quién ilustró el tablero de jugador en Sagrada?,relaciones
¿Para qué sirven las cartas de herramienta en Sagrada?,informacion
¿Qué alianzas comerciales tiene la editorial de Sagrada?,relaciones
¿Qué penalización hay por espacios vacíos?,informacion
¿Qué tipo de estrategias se recomiendan para juegos de dados?,informacion
¿Qué penalización hay por espacios vacíos?,informacion
¿Cuál es la edición más vendida de Sagrada?,estadisticas
¿Qué tipos de restricciones se deben seguir al colocar dados?,informacion
¿Qué cartas tienen efectos más fuertes en el juego?,informacion
¿Quién reseñó el juego Sagrada en YouTube?,relaciones
¿Cuántas ediciones del juego Sagrada existen?,estadisticas
¿Cómo se eligen los dados al inicio del juego?,informacion
¿Cuál fue el crecimiento anual de ventas de Sagrada?,estadisticas
¿Qué tipos de restricciones se deben seguir al colocar dados?,informacion
¿Qué porcentaje de jugadores recomiendan Sagrada?,estadisticas
¿Quién es el responsable del arte gráfico del juego?,relaciones
¿Qué cartas tienen efectos más fuertes en el juego?,informacion
¿Para qué sirven las cartas de herramienta en Sagrada?,informacion
¿Qué diseñadores participaron en la expansión ‘Pasión’?,relaciones
¿Cuál es la función de las cartas de objetivo público en Sagrada?,informacion
¿Qué jugadores participaron en la final de 2022?,relaciones
¿Cuántas veces ha sido nominado Sagrada a premios de juegos de mesa?,estadisticas
¿Qué rol tiene el turno en un juego de mesa?,informacion
¿Qué autores trabajaron en la expansión de Sagrada?,relaciones
¿Qué ilustradores colaboraron con la edición deluxe?,relaciones
¿Quién organizó el campeonato nacional de Sagrada en 2023?,relaciones
¿Qué autores escribieron sobre Sagrada en blogs?,relaciones
¿Qué diferencias hay entre los tableros de jugador?,informacion
¿Quién diseñó el juego Sagrada?,relaciones
¿Qué alianzas comerciales tiene la editorial de Sagrada?,relaciones
¿Qué comunidad organiza partidas online de Sagrada?,relaciones
¿Quién organizó el campeonato nacional de Sagrada en 2023?,relaciones
¿Qué porcentaje de ventas de Sagrada corresponde a América Latina?,estadisticas
¿Qué sucede si se empata en una partida de Sagrada?,informacion
¿Cuántos foros activos discuten estrategias de Sagrada?,estadisticas
¿Cómo se preparan los componentes antes de comenzar un juego?,informacion
¿Qué empresa diseñó el empaque del juego?,relaciones
¿Qué variantes de reglas caseras se usan en Sagrada?,informacion
¿Qué porcentaje de usuarios le dio 10 puntos a Sagrada?,estadisticas
¿Cuántas copias digitales del reglamento se han descargado?,estadisticas
¿Qué influencias tiene Sagrada de otros juegos?,relaciones
¿En qué año se lanzó el juego Sagrada?,estadisticas
¿Cómo influye el azar en juegos como Sagrada?,informacion
¿Qué diseñador trabajó también en Azul y Sagrada?,relaciones
¿Qué celebridades han jugado Sagrada?,relaciones
¿Cuántos usuarios han reseñado Sagrada en línea?,estadisticas
¿Cuántos clubes de juegos incluyen Sagrada como título recomendado?,estadisticas
¿Cuántas copias de Sagrada se han vendido en todo el mundo?,estadisticas
¿Quién fue el juez del último torneo oficial?,relaciones
¿Qué significan los íconos en el manual de Sagrada?,informacion
¿Qué diseñadores participaron en la expansión ‘Pasión’?,relaciones
